title,rating,comments_count,director,writer,actors,genres,country_region,release_year,link
哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,8.8,800359,迈克·内威尔,史蒂夫·克洛夫斯/J·K·罗琳,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/迈克尔·刚本/玛吉·史密斯,悬疑/奇幻/冒险,,2005,https://movie.douban.com/subject/1309055/
头脑特工队 Inside Out,8.8,804454,彼特·道格特,彼特·道格特/罗纳尔多·德尔·卡门/梅格·勒福夫/乔什·库雷/迈克尔·阿恩特/西蒙·里奇/鲍勃·彼德森/比尔·哈德尔/艾米·波勒,艾米·波勒/菲利丝·史密斯/理查德·坎德/比尔·哈德尔/刘易斯·布莱克,喜剧/动画/冒险,,2015,https://movie.douban.com/subject/10533913/
未麻的部屋 Perfect Blue,9.1,424608,今敏,村井贞之/竹内义和,岩男润子/松本梨香/辻亲八/大仓正章/秋元羊介,剧情/动画/悬疑/惊悚/犯罪,,1997,https://movie.douban.com/subject/1395091/
重庆森林 重慶森林,8.8,921771,王家卫,王家卫,林青霞/金城武/梁朝伟/王菲/周嘉玲,剧情/爱情,,1994,https://movie.douban.com/subject/1291999/
借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,8.9,627150,米林宏昌,宫崎骏/丹羽圭子/玛丽·诺顿,志田未来/神木隆之介/树木希林/三浦友和/大竹忍,动画/奇幻/冒险,,2010,https://movie.douban.com/subject/4202302/
入殓师 おくりびと,8.9,742479,泷田洋二郎,小山薰堂,本木雅弘/广末凉子/山崎努/吉行和子/笹野高史,剧情,,2021,https://movie.douban.com/subject/2149806/
菊次郎的夏天 菊次郎の夏,8.9,672921,北野武,北野武,北野武/关口雄介/岸本加世子/吉行和子/细川典江,剧情/喜剧,,2020,https://movie.douban.com/subject/1293359/
断背山 Brokeback Mountain,8.8,782074,李安,拉里·麦克穆特瑞/黛安娜·奥撒纳/安妮·普鲁,希斯·莱杰/杰克·吉伦哈尔/米歇尔·威廉姆斯/安妮·海瑟薇/凯特·玛拉,剧情/爱情/同性/家庭,,2005,https://movie.douban.com/subject/1418834/
剪刀手爱德华 Edward Scissorhands,8.7,1119800,蒂姆·波顿,蒂姆·波顿/卡罗琳·汤普森,约翰尼·德普/薇诺娜·瑞德/黛安·韦斯特/安东尼·迈克尔·豪尔/凯西·贝克,剧情/爱情/奇幻,,1990,https://movie.douban.com/subject/1292370/
勇敢的心 Braveheart,8.9,605288,梅尔·吉布森,兰道尔·华莱士,梅尔·吉布森/苏菲·玛索/布莱恩·考克斯/詹姆斯·科兹莫/辛·劳洛,剧情/动作/传记/历史/战争,,1995,https://movie.douban.com/subject/1294639/
